prompt,part_type,source,note
An illustration of a stapler,tool,original,
A 3d rendering of a camera,enclosure,original,
An isometric view of a whistle,tool,original,
A 3d drawing of a pipe fitting,fluid,original,
An illustration of an open wrench with a wrench on it,tool,original,
Small box that goes inside a bigger box.,fit/assembly,original,
Small box that perfectly fits a big box.,fit/assembly,original,
Two pieces of gears that perfectly fit.,rotating,original,
Three metal gears that mesh together.,rotating,original,
A bracket that mounts a shelf to a wall.,mounting,added,drafted to increase sample size
An illustration of a door hinge.,mounting,added,drafted to increase sample size
A flange that connects two pipes.,fluid,added,drafted to increase sample size
A 3d rendering of a drawer knob.,handle,added,drafted to increase sample size
A funnel for pouring liquid into a narrow opening.,fluid,added,drafted to increase sample size
A clamp that holds two plates together.,mounting,added,drafted to increase sample size
A bushing that fits inside a bearing housing.,rotating,added,drafted to increase sample size
A spacer that keeps two plates apart.,fit/assembly,added,drafted to increase sample size
An illustration of a toolbox handle.,handle,added,drafted to increase sample size
A hook for hanging a coat on a wall.,mounting,added,drafted to increase sample size
A washer that sits under a bolt head.,fastener,added,drafted to increase sample size
